Segment,Country,Product,Discount Band, Units Sold ,Manufacturing Price,Sale Price,Sales,COGS,Profit,Date,%Profit
Channel Partners,Thailand,Tango,None," 1,904 ","Rp 8,700","Rp 10,875","Rp 20,706,000","Rp 16,564,800","Rp 4,141,200",29 Aug 2025,20%
Channel Partners,Malaysia,Ultra Milk,None," 1,623 ","Rp 14,300","Rp 17,875","Rp 29,011,125","Rp 23,208,900","Rp 5,802,225",30 Aug 2025,20%
Channel Partners,Myanmar,Ultra Milk,None," 1,603 ","Rp 4,000","Rp 5,000","Rp 8,015,000","Rp 6,412,000","Rp 1,603,000",31 Aug 2025,20%
Channel Partners,Cambodia,Indomie,None, 526 ,"Rp 3,200","Rp 4,000","Rp 2,104,000","Rp 1,683,200","Rp 420,800",31 Aug 2025,20%
Channel Partners,Brunei,Indomie,None," 2,328 ","Rp 3,900","Rp 4,875","Rp 11,349,000","Rp 9,079,200","Rp 2,269,800",4 Sep 2025,20%
Channel Partners,Laos,Biskuat,None," 1,025 ","Rp 20,700","Rp 25,875","Rp 26,521,875","Rp 21,217,500","Rp 5,304,375",6 Sep 2025,20%
Channel Partners,Malaysia,Sari Roti,None," 1,157 ","Rp 22,400","Rp 28,000","Rp 32,396,000","Rp 25,916,800","Rp 6,479,200",9 Sep 2025,20%
Channel Partners,Singapore,Chitato,None," 1,484 ","Rp 1,800","Rp 2,250","Rp 3,339,000","Rp 2,671,200","Rp 667,800",11 Sep 2025,20%
Channel Partners,Laos,Aqua,None," 2,122 ","Rp 13,000","Rp 16,250","Rp 34,482,500","Rp 27,586,000","Rp 6,896,500",13 Sep 2025,20%
Channel Partners,Myanmar,Gula Gulaku,None," 1,307 ","Rp 16,400","Rp 20,500","Rp 26,793,500","Rp 21,434,800","Rp 5,358,700",13 Sep 2025,20%
Channel Partners,Singapore,Aqua,None," 1,594 ","Rp 16,600","Rp 20,750","Rp 33,075,500","Rp 26,460,400","Rp 6,615,100",14 Sep 2025,20%
Channel Partners,Vietnam,Biskuat,None, 648 ,"Rp 18,200","Rp 22,750","Rp 14,742,000","Rp 11,793,600","Rp 2,948,400",15 Sep 2025,20%
Channel Partners,Indonesia,Ultra Milk,None, 524 ,"Rp 17,400","Rp 21,750","Rp 11,397,000","Rp 9,117,600","Rp 2,279,400",16 Sep 2025,20%
Channel Partners,Cambodia,Gula Gulaku,None," 2,354 ","Rp 10,200","Rp 12,750","Rp 30,013,500","Rp 24,010,800","Rp 6,002,700",16 Sep 2025,20%
Channel Partners,Singapore,Gula Gulaku,None," 1,864 ","Rp 3,300","Rp 4,125","Rp 7,689,000","Rp 6,151,200","Rp 1,537,800",17 Sep 2025,20%
Channel Partners,Malaysia,Nugget Fiesta,None, 765 ,"Rp 9,400","Rp 11,750","Rp 8,988,750","Rp 7,191,000","Rp 1,797,750",17 Sep 2025,20%
Channel Partners,Malaysia,Indomie,None," 1,724 ","Rp 20,200","Rp 25,250","Rp 43,531,000","Rp 34,824,800","Rp 8,706,200",21 Sep 2025,20%
Channel Partners,Philippines,Biskuat,None, 475 ,"Rp 17,900","Rp 22,375","Rp 10,628,125","Rp 8,502,500","Rp 2,125,625",25 Sep 2025,20%
Channel Partners,Malaysia,Gula Gulaku,None, 371 ,"Rp 18,000","Rp 22,500","Rp 8,347,500","Rp 6,678,000","Rp 1,669,500",28 Sep 2025,20%
Channel Partners,Indonesia,Aqua,None, 914 ,"Rp 23,700","Rp 29,625","Rp 27,077,250","Rp 21,661,800","Rp 5,415,450",2 Oct 2025,20%
Channel Partners,Singapore,Nugget Fiesta,None," 1,346 ","Rp 2,300","Rp 2,875","Rp 3,869,750","Rp 3,095,800","Rp 773,950",5 Oct 2025,20%
Channel Partners,Laos,Gula Gulaku,None," 2,140 ","Rp 21,800","Rp 27,250","Rp 58,315,000","Rp 46,652,000","Rp 11,663,000",5 Oct 2025,20%
Channel Partners,Vietnam,Tango,None, 495 ,"Rp 19,400","Rp 24,250","Rp 12,003,750","Rp 9,603,000","Rp 2,400,750",6 Oct 2025,20%
Channel Partners,Indonesia,Tango,None," 1,234 ","Rp 8,700","Rp 10,875","Rp 13,419,750","Rp 10,735,800","Rp 2,683,950",7 Oct 2025,20%
Channel Partners,Laos,Ultra Milk,None, 340 ,"Rp 17,800","Rp 22,250","Rp 7,565,000","Rp 6,052,000","Rp 1,513,000",7 Oct 2025,20%
Channel Partners,Myanmar,Chitato,None, 811 ,"Rp 18,200","Rp 22,750","Rp 18,450,250","Rp 14,760,200","Rp 3,690,050",10 Oct 2025,20%
Channel Partners,Brunei,Tango,None," 1,390 ","Rp 9,100","Rp 11,375","Rp 15,811,250","Rp 12,649,000","Rp 3,162,250",11 Oct 2025,20%
Channel Partners,Brunei,Teh Botol,None," 2,618 ","Rp 4,000","Rp 5,000","Rp 13,090,000","Rp 10,472,000","Rp 2,618,000",11 Oct 2025,20%
Channel Partners,Laos,Tango,None, 782 ,"Rp 6,400","Rp 8,000","Rp 6,256,000","Rp 5,004,800","Rp 1,251,200",12 Oct 2025,20%
Channel Partners,Philippines,Aqua,None," 2,590 ","Rp 3,400","Rp 4,250","Rp 11,007,500","Rp 8,806,000","Rp 2,201,500",14 Oct 2025,20%
Channel Partners,Vietnam,Biskuat,None," 2,774 ","Rp 10,000","Rp 12,500","Rp 34,675,000","Rp 27,740,000","Rp 6,935,000",19 Oct 2025,20%
Channel Partners,Thailand,Indomie,None," 1,235 ","Rp 3,300","Rp 4,125","Rp 5,094,375","Rp 4,075,500","Rp 1,018,875",20 Oct 2025,20%
Channel Partners,Malaysia,Gula Gulaku,None," 1,796 ","Rp 14,800","Rp 18,500","Rp 33,226,000","Rp 26,580,800","Rp 6,645,200",24 Oct 2025,20%
Channel Partners,Myanmar,Biskuat,None, 184 ,"Rp 4,900","Rp 6,125","Rp 1,127,000","Rp 901,600","Rp 225,400",27 Oct 2025,20%
Channel Partners,Vietnam,Nugget Fiesta,None, 271 ,"Rp 2,600","Rp 3,250","Rp 880,750","Rp 704,600","Rp 176,150",27 Oct 2025,20%
Channel Partners,Myanmar,Aqua,None," 1,923 ","Rp 10,700","Rp 13,375","Rp 25,720,125","Rp 20,576,100","Rp 5,144,025",27 Oct 2025,20%
Channel Partners,Vietnam,Teh Botol,None," 1,752 ","Rp 22,600","Rp 28,250","Rp 49,494,000","Rp 39,595,200","Rp 9,898,800",30 Oct 2025,20%
Channel Partners,Philippines,Chitato,None," 2,000 ","Rp 22,300","Rp 27,875","Rp 55,750,000","Rp 44,600,000","Rp 11,150,000",31 Oct 2025,20%
Channel Partners,Myanmar,Tango,None, 205 ,"Rp 15,500","Rp 19,375","Rp 3,971,875","Rp 3,177,500","Rp 794,375",1 Nov 2025,20%
Channel Partners,Cambodia,Teh Botol,None," 1,346 ","Rp 20,200","Rp 25,250","Rp 33,986,500","Rp 27,189,200","Rp 6,797,300",1 Nov 2025,20%
Channel Partners,Myanmar,Ultra Milk,None," 1,548 ","Rp 2,400","Rp 3,000","Rp 4,644,000","Rp 3,715,200","Rp 928,800",10 Nov 2025,20%
Channel Partners,Singapore,Sari Roti,None, 911 ,"Rp 7,400","Rp 9,250","Rp 8,426,750","Rp 6,741,400","Rp 1,685,350",10 Nov 2025,20%
Channel Partners,Thailand,Teh Botol,None," 2,957 ","Rp 7,500","Rp 9,375","Rp 27,721,875","Rp 22,177,500","Rp 5,544,375",13 Nov 2025,20%
Channel Partners,Brunei,Indomie,None, 318 ,"Rp 17,500","Rp 21,875","Rp 6,956,250","Rp 5,565,000","Rp 1,391,250",15 Nov 2025,20%
Channel Partners,Singapore,Ultra Milk,None," 1,363 ","Rp 17,700","Rp 22,125","Rp 30,156,375","Rp 24,125,100","Rp 6,031,275",15 Nov 2025,20%
Channel Partners,Indonesia,Indomie,None, 838 ,"Rp 12,000","Rp 15,000","Rp 12,570,000","Rp 10,056,000","Rp 2,514,000",15 Nov 2025,20%
Channel Partners,Singapore,Ultra Milk,None," 2,378 ","Rp 10,600","Rp 13,250","Rp 31,508,500","Rp 25,206,800","Rp 6,301,700",16 Nov 2025,20%
Channel Partners,Cambodia,Chitato,None, 631 ,"Rp 17,300","Rp 21,625","Rp 13,645,375","Rp 10,916,300","Rp 2,729,075",17 Nov 2025,20%
Channel Partners,Malaysia,Sari Roti,None," 1,356 ","Rp 5,400","Rp 6,750","Rp 9,153,000","Rp 7,322,400","Rp 1,830,600",17 Nov 2025,20%
Channel Partners,Malaysia,Chitato,None," 2,991 ","Rp 11,800","Rp 14,750","Rp 44,117,250","Rp 35,293,800","Rp 8,823,450",17 Nov 2025,20%
Channel Partners,Indonesia,Biskuat,None, 914 ,"Rp 17,600","Rp 22,000","Rp 20,108,000","Rp 16,086,400","Rp 4,021,600",18 Nov 2025,20%
Channel Partners,Cambodia,Sari Roti,None," 1,367 ","Rp 8,000","Rp 10,000","Rp 13,670,000","Rp 10,936,000","Rp 2,734,000",20 Nov 2025,20%
Channel Partners,Singapore,Tango,None," 2,308 ","Rp 12,000","Rp 15,000","Rp 34,620,000","Rp 27,696,000","Rp 6,924,000",21 Nov 2025,20%
Channel Partners,Singapore,Aqua,None," 2,954 ","Rp 19,700","Rp 24,625","Rp 72,742,250","Rp 58,193,800","Rp 14,548,450",21 Nov 2025,20%
Channel Partners,Indonesia,Ultra Milk,None, 533 ,"Rp 15,900","Rp 19,875","Rp 10,593,375","Rp 8,474,700","Rp 2,118,675",21 Nov 2025,20%
Channel Partners,Laos,Aqua,None," 2,893 ","Rp 9,300","Rp 11,625","Rp 33,631,125","Rp 26,904,900","Rp 6,726,225",21 Nov 2025,20%
Channel Partners,Cambodia,Ultra Milk,None," 1,359 ","Rp 18,600","Rp 23,250","Rp 31,596,750","Rp 25,277,400","Rp 6,319,350",22 Nov 2025,20%
Channel Partners,Cambodia,Teh Botol,None," 2,136 ","Rp 20,800","Rp 26,000","Rp 55,536,000","Rp 44,428,800","Rp 11,107,200",23 Nov 2025,20%
Channel Partners,Vietnam,Nugget Fiesta,None, 531 ,"Rp 9,600","Rp 12,000","Rp 6,372,000","Rp 5,097,600","Rp 1,274,400",25 Nov 2025,20%
Channel Partners,Cambodia,Indomie,None, 335 ,"Rp 20,900","Rp 26,125","Rp 8,751,875","Rp 7,001,500","Rp 1,750,375",25 Nov 2025,20%
Channel Partners,Philippines,Aqua,None, 221 ,"Rp 4,400","Rp 5,500","Rp 1,215,500","Rp 972,400","Rp 243,100",25 Nov 2025,20%
Channel Partners,Thailand,Gula Gulaku,None," 1,984 ","Rp 16,100","Rp 20,125","Rp 39,928,000","Rp 31,942,400","Rp 7,985,600",26 Nov 2025,20%
Channel Partners,Brunei,Nugget Fiesta,None," 2,607 ","Rp 18,500","Rp 23,125","Rp 60,286,875","Rp 48,229,500","Rp 12,057,375",26 Nov 2025,20%
Channel Partners,Vietnam,Aqua,None," 1,007 ","Rp 19,100","Rp 23,875","Rp 24,042,125","Rp 19,233,700","Rp 4,808,425",27 Nov 2025,20%
Channel Partners,Philippines,Ultra Milk,None," 1,865 ","Rp 22,600","Rp 28,250","Rp 52,686,250","Rp 42,149,000","Rp 10,537,250",28 Nov 2025,20%
Channel Partners,Cambodia,Nugget Fiesta,None," 1,010 ","Rp 17,000","Rp 21,250","Rp 21,462,500","Rp 17,170,000","Rp 4,292,500",28 Nov 2025,20%
Channel Partners,Laos,Biskuat,None, 488 ,"Rp 5,300","Rp 6,625","Rp 3,233,000","Rp 2,586,400","Rp 646,600",1 Dec 2025,20%
Channel Partners,Laos,Gula Gulaku,None," 1,171 ","Rp 15,800","Rp 19,750","Rp 23,127,250","Rp 18,501,800","Rp 4,625,450",3 Dec 2025,20%
Channel Partners,Indonesia,Chitato,None, 278 ,"Rp 24,100","Rp 30,125","Rp 8,374,750","Rp 6,699,800","Rp 1,674,950",5 Dec 2025,20%
Channel Partners,Myanmar,Sari Roti,None, 579 ,"Rp 11,900","Rp 14,875","Rp 8,612,625","Rp 6,890,100","Rp 1,722,525",8 Dec 2025,20%
Channel Partners,Singapore,Sari Roti,None," 2,263 ","Rp 17,900","Rp 22,375","Rp 50,634,625","Rp 40,507,700","Rp 10,126,925",8 Dec 2025,20%
Channel Partners,Malaysia,Indomie,None," 1,191 ","Rp 23,300","Rp 29,125","Rp 34,687,875","Rp 27,750,300","Rp 6,937,575",10 Dec 2025,20%
Channel Partners,Laos,Tango,None," 2,571 ","Rp 14,600","Rp 18,250","Rp 46,920,750","Rp 37,536,600","Rp 9,384,150",10 Dec 2025,20%
Channel Partners,Brunei,Biskuat,None, 656 ,"Rp 13,600","Rp 17,000","Rp 11,152,000","Rp 8,921,600","Rp 2,230,400",13 Dec 2025,20%
Channel Partners,Malaysia,Gula Gulaku,None, 361 ,"Rp 3,700","Rp 4,625","Rp 1,669,625","Rp 1,335,700","Rp 333,925",14 Dec 2025,20%
Channel Partners,Thailand,Sari Roti,None," 2,010 ","Rp 18,900","Rp 23,625","Rp 47,486,250","Rp 37,989,000","Rp 9,497,250",16 Dec 2025,20%
Channel Partners,Myanmar,Sari Roti,None," 2,431 ","Rp 8,600","Rp 10,750","Rp 26,133,250","Rp 20,906,600","Rp 5,226,650",18 Dec 2025,20%
Channel Partners,Laos,Tango,None, 906 ,"Rp 1,800","Rp 2,250","Rp 2,038,500","Rp 1,630,800","Rp 407,700",19 Dec 2025,20%
Channel Partners,Singapore,Biskuat,None," 2,410 ","Rp 7,100","Rp 8,875","Rp 21,388,750","Rp 17,111,000","Rp 4,277,750",20 Dec 2025,20%
Channel Partners,Singapore,Teh Botol,None," 2,685 ","Rp 20,300","Rp 25,375","Rp 68,131,875","Rp 54,505,500","Rp 13,626,375",22 Dec 2025,20%
Channel Partners,Thailand,Teh Botol,None," 2,879 ","Rp 2,100","Rp 2,625","Rp 7,557,375","Rp 6,045,900","Rp 1,511,475",22 Dec 2025,20%
Channel Partners,Malaysia,Teh Botol,None, 137 ,"Rp 3,300","Rp 4,125","Rp 565,125","Rp 452,100","Rp 113,025",23 Dec 2025,20%
Channel Partners,Cambodia,Biskuat,None," 1,801 ","Rp 9,300","Rp 11,625","Rp 20,936,625","Rp 16,749,300","Rp 4,187,325",24 Dec 2025,20%
Channel Partners,Philippines,Chitato,None," 1,384 ","Rp 7,100","Rp 8,875","Rp 12,283,000","Rp 9,826,400","Rp 2,456,600",24 Dec 2025,20%
Channel Partners,Malaysia,Ultra Milk,None," 1,515 ","Rp 22,600","Rp 28,250","Rp 42,798,750","Rp 34,239,000","Rp 8,559,750",26 Dec 2025,20%
Channel Partners,Brunei,Chitato,None," 2,272 ","Rp 14,400","Rp 18,000","Rp 40,896,000","Rp 32,716,800","Rp 8,179,200",27 Dec 2025,20%
Channel Partners,Brunei,Teh Botol,None," 1,783 ","Rp 24,200","Rp 30,250","Rp 53,935,750","Rp 43,148,600","Rp 10,787,150",29 Dec 2025,20%
Channel Partners,Indonesia,Gula Gulaku,None," 1,235 ","Rp 19,500","Rp 24,375","Rp 30,103,125","Rp 24,082,500","Rp 6,020,625",30 Dec 2025,20%
Channel Partners,Singapore,Sari Roti,None, 158 ,"Rp 6,200","Rp 7,750","Rp 1,224,500","Rp 979,600","Rp 244,900",31 Dec 2025,20%
Enterprise,Myanmar,Aqua,None, 364 ,"Rp 7,500","Rp 9,375","Rp 3,412,500","Rp 2,730,000","Rp 682,500",1 Jan 2025,20%
Enterprise,Laos,Teh Botol,None, 280 ,"Rp 17,600","Rp 22,000","Rp 6,160,000","Rp 4,928,000","Rp 1,232,000",1 Jan 2025,20%
Enterprise,Indonesia,Ultra Milk,None," 1,715 ","Rp 9,200","Rp 11,500","Rp 19,722,500","Rp 15,778,000","Rp 3,944,500",3 Jan 2025,20%
Enterprise,Myanmar,Indomie,None," 1,771 ","Rp 5,100","Rp 6,375","Rp 11,290,125","Rp 9,032,100","Rp 2,258,025",3 Jan 2025,20%
Enterprise,Singapore,Gula Gulaku,None," 1,431 ","Rp 11,500","Rp 14,375","Rp 20,570,625","Rp 16,456,500","Rp 4,114,125",4 Jan 2025,20%
Enterprise,Indonesia,Gula Gulaku,None, 270 ,"Rp 12,200","Rp 15,250","Rp 4,117,500","Rp 3,294,000","Rp 823,500",6 Jan 2025,20%
Enterprise,Brunei,Tango,None," 2,045 ","Rp 20,700","Rp 25,875","Rp 52,914,375","Rp 42,331,500","Rp 10,582,875",6 Jan 2025,20%
Enterprise,Thailand,Sari Roti,None, 327 ,"Rp 6,600","Rp 8,250","Rp 2,697,750","Rp 2,158,200","Rp 539,550",11 Jan 2025,20%
Enterprise,Cambodia,Nugget Fiesta,None," 1,880 ","Rp 22,700","Rp 28,375","Rp 53,345,000","Rp 42,676,000","Rp 10,669,000",12 Jan 2025,20%
Enterprise,Singapore,Tango,None," 2,435 ","Rp 23,400","Rp 29,250","Rp 71,223,750","Rp 56,979,000","Rp 14,244,750",13 Jan 2025,20%
Enterprise,Laos,Indomie,None, 927 ,"Rp 11,200","Rp 14,000","Rp 12,978,000","Rp 10,382,400","Rp 2,595,600",14 Jan 2025,20%
Enterprise,Myanmar,Nugget Fiesta,None," 2,765 ","Rp 11,000","Rp 13,750","Rp 38,018,750","Rp 30,415,000","Rp 7,603,750",14 Jan 2025,20%
Enterprise,Indonesia,Chitato,None," 1,702 ","Rp 18,100","Rp 22,625","Rp 38,507,750","Rp 30,806,200","Rp 7,701,550",15 Jan 2025,20%
Enterprise,Thailand,Sari Roti,None, 883 ,"Rp 20,100","Rp 25,125","Rp 22,185,375","Rp 17,748,300","Rp 4,437,075",16 Jan 2025,20%
Enterprise,Myanmar,Nugget Fiesta,None, 898 ,"Rp 18,600","Rp 23,250","Rp 20,878,500","Rp 16,702,800","Rp 4,175,700",17 Jan 2025,20%
Enterprise,Thailand,Chitato,None," 1,899 ","Rp 8,100","Rp 10,125","Rp 19,227,375","Rp 15,381,900","Rp 3,845,475",17 Jan 2025,20%
Enterprise,Singapore,Nugget Fiesta,None," 1,462 ","Rp 22,600","Rp 28,250","Rp 41,301,500","Rp 33,041,200","Rp 8,260,300",20 Jan 2025,20%
Enterprise,Laos,Sari Roti,None," 2,831 ","Rp 20,800","Rp 26,000","Rp 73,606,000","Rp 58,884,800","Rp 14,721,200",20 Jan 2025,20%
Enterprise,Indonesia,Nugget Fiesta,None," 1,125 ","Rp 20,100","Rp 25,125","Rp 28,265,625","Rp 22,612,500","Rp 5,653,125",20 Jan 2025,20%
Enterprise,Singapore,Ultra Milk,None," 1,730 ","Rp 4,000","Rp 5,000","Rp 8,650,000","Rp 6,920,000","Rp 1,730,000",21 Jan 2025,20%
Enterprise,Laos,Indomie,None," 2,693 ","Rp 6,700","Rp 8,375","Rp 22,553,875","Rp 18,043,100","Rp 4,510,775",22 Jan 2025,20%
Enterprise,Myanmar,Aqua,None," 2,927 ","Rp 15,400","Rp 19,250","Rp 56,344,750","Rp 45,075,800","Rp 11,268,950",22 Jan 2025,20%
Enterprise,Malaysia,Ultra Milk,None," 1,136 ","Rp 16,600","Rp 20,750","Rp 23,572,000","Rp 18,857,600","Rp 4,714,400",23 Jan 2025,20%
Enterprise,Vietnam,Gula Gulaku,None," 1,896 ","Rp 11,000","Rp 13,750","Rp 26,070,000","Rp 20,856,000","Rp 5,214,000",24 Jan 2025,20%
Enterprise,Vietnam,Ultra Milk,None," 2,504 ","Rp 18,300","Rp 22,875","Rp 57,279,000","Rp 45,823,200","Rp 11,455,800",25 Jan 2025,20%
Enterprise,Brunei,Ultra Milk,None, 152 ,"Rp 16,500","Rp 20,625","Rp 3,135,000","Rp 2,508,000","Rp 627,000",27 Jan 2025,20%
Enterprise,Laos,Chitato,None," 2,806 ","Rp 19,600","Rp 24,500","Rp 68,747,000","Rp 54,997,600","Rp 13,749,400",27 Jan 2025,20%
Enterprise,Thailand,Indomie,None," 2,045 ","Rp 16,100","Rp 20,125","Rp 41,155,625","Rp 32,924,500","Rp 8,231,125",30 Jan 2025,20%
Enterprise,Cambodia,Teh Botol,None," 2,077 ","Rp 6,800","Rp 8,500","Rp 17,654,500","Rp 14,123,600","Rp 3,530,900",30 Jan 2025,20%
Enterprise,Thailand,Gula Gulaku,None, 914 ,"Rp 6,500","Rp 8,125","Rp 7,426,250","Rp 5,941,000","Rp 1,485,250",31 Jan 2025,20%
Enterprise,Brunei,Teh Botol,None," 1,576 ","Rp 21,500","Rp 26,875","Rp 42,355,000","Rp 33,884,000","Rp 8,471,000",1 Feb 2025,20%
Enterprise,Brunei,Ultra Milk,None," 1,040 ","Rp 21,600","Rp 27,000","Rp 28,080,000","Rp 22,464,000","Rp 5,616,000",1 Feb 2025,20%
Enterprise,Cambodia,Ultra Milk,None, 210 ,"Rp 24,400","Rp 30,500","Rp 6,405,000","Rp 5,124,000","Rp 1,281,000",5 Feb 2025,20%
Enterprise,Cambodia,Chitato,None, 106 ,"Rp 23,200","Rp 29,000","Rp 3,074,000","Rp 2,459,200","Rp 614,800",9 Feb 2025,20%
Enterprise,Singapore,Ultra Milk,None," 1,436 ","Rp 12,200","Rp 15,250","Rp 21,899,000","Rp 17,519,200","Rp 4,379,800",9 Feb 2025,20%
Enterprise,Indonesia,Sari Roti,None," 1,689 ","Rp 17,600","Rp 22,000","Rp 37,158,000","Rp 29,726,400","Rp 7,431,600",10 Feb 2025,20%
Enterprise,Laos,Sari Roti,None, 738 ,"Rp 4,800","Rp 6,000","Rp 4,428,000","Rp 3,542,400","Rp 885,600",11 Feb 2025,20%
Enterprise,Singapore,Aqua,None," 2,618 ","Rp 10,400","Rp 13,000","Rp 34,034,000","Rp 27,227,200","Rp 6,806,800",11 Feb 2025,20%
Enterprise,Laos,Nugget Fiesta,None," 1,400 ","Rp 12,000","Rp 15,000","Rp 21,000,000","Rp 16,800,000","Rp 4,200,000",12 Feb 2025,20%
Enterprise,Philippines,Chitato,None," 1,081 ","Rp 20,400","Rp 25,500","Rp 27,565,500","Rp 22,052,400","Rp 5,513,100",13 Feb 2025,20%
Enterprise,Philippines,Biskuat,None," 1,201 ","Rp 21,700","Rp 27,125","Rp 32,577,125","Rp 26,061,700","Rp 6,515,425",16 Feb 2025,20%
Enterprise,Vietnam,Nugget Fiesta,None," 2,409 ","Rp 20,900","Rp 26,125","Rp 62,935,125","Rp 50,348,100","Rp 12,587,025",18 Feb 2025,20%
Enterprise,Thailand,Chitato,None, 161 ,"Rp 5,700","Rp 7,125","Rp 1,147,125","Rp 917,700","Rp 229,425",18 Feb 2025,20%
Enterprise,Singapore,Biskuat,None," 2,412 ","Rp 17,300","Rp 21,625","Rp 52,159,500","Rp 41,727,600","Rp 10,431,900",19 Feb 2025,20%
Enterprise,Philippines,Teh Botol,None, 521 ,"Rp 11,800","Rp 14,750","Rp 7,684,750","Rp 6,147,800","Rp 1,536,950",20 Feb 2025,20%
Enterprise,Vietnam,Gula Gulaku,None," 2,513 ","Rp 19,900","Rp 24,875","Rp 62,510,875","Rp 50,008,700","Rp 12,502,175",21 Feb 2025,20%
Enterprise,Thailand,Aqua,None," 1,518 ","Rp 3,500","Rp 4,375","Rp 6,641,250","Rp 5,313,000","Rp 1,328,250",23 Feb 2025,20%
Enterprise,Myanmar,Nugget Fiesta,None," 2,101 ","Rp 10,100","Rp 12,625","Rp 26,525,125","Rp 21,220,100","Rp 5,305,025",23 Feb 2025,20%
Enterprise,Myanmar,Sari Roti,None," 2,756 ","Rp 24,900","Rp 31,125","Rp 85,780,500","Rp 68,624,400","Rp 17,156,100",24 Feb 2025,20%
Enterprise,Laos,Aqua,None," 2,820 ","Rp 6,700","Rp 8,375","Rp 23,617,500","Rp 18,894,000","Rp 4,723,500",27 Feb 2025,20%
Enterprise,Vietnam,Sari Roti,None, 965 ,"Rp 20,400","Rp 25,500","Rp 24,607,500","Rp 19,686,000","Rp 4,921,500",28 Feb 2025,20%
Enterprise,Myanmar,Biskuat,None, 800 ,"Rp 18,786","Rp 23,375","Rp 18,700,000","Rp 15,028,800","Rp 3,671,200",3 Mar 2025,20%
Enterprise,Laos,Gula Gulaku,None," 1,344 ","Rp 2,800","Rp 3,500","Rp 4,704,000","Rp 3,763,200","Rp 940,800",5 Mar 2025,20%
Enterprise,Vietnam,Biskuat,None," 2,291 ","Rp 8,200","Rp 10,250","Rp 23,482,750","Rp 18,786,200","Rp 4,696,550",5 Mar 2025,20%
Enterprise,Thailand,Tango,None, 652 ,"Rp 11,300","Rp 14,125","Rp 9,209,500","Rp 7,367,600","Rp 1,841,900",7 Mar 2025,20%
Enterprise,Indonesia,Gula Gulaku,None, 812 ,"Rp 15,900","Rp 19,875","Rp 16,138,500","Rp 12,910,800","Rp 3,227,700",9 Mar 2025,20%
Enterprise,Myanmar,Aqua,None," 2,138 ","Rp 8,500","Rp 10,625","Rp 22,716,250","Rp 18,173,000","Rp 4,543,250",11 Mar 2025,20%
Enterprise,Thailand,Indomie,None," 2,519 ","Rp 11,800","Rp 14,750","Rp 37,155,250","Rp 29,724,200","Rp 7,431,050",11 Mar 2025,20%
Enterprise,Malaysia,Biskuat,None," 2,867 ","Rp 8,500","Rp 10,625","Rp 30,461,875","Rp 24,369,500","Rp 6,092,375",11 Mar 2025,20%
Enterprise,Brunei,Ultra Milk,None," 2,362 ","Rp 21,300","Rp 26,625","Rp 62,888,250","Rp 50,310,600","Rp 12,577,650",13 Mar 2025,20%
Enterprise,Singapore,Teh Botol,None," 2,325 ","Rp 17,800","Rp 22,250","Rp 51,731,250","Rp 41,385,000","Rp 10,346,250",15 Mar 2025,20%
Enterprise,Philippines,Tango,None," 2,669 ","Rp 5,400","Rp 6,750","Rp 18,015,750","Rp 14,412,600","Rp 3,603,150",15 Mar 2025,20%
Enterprise,Singapore,Indomie,None," 1,902 ","Rp 9,300","Rp 11,625","Rp 22,110,750","Rp 17,688,600","Rp 4,422,150",15 Mar 2025,20%
Enterprise,Cambodia,Indomie,None, 993 ,"Rp 23,700","Rp 29,625","Rp 29,417,625","Rp 23,534,100","Rp 5,883,525",19 Mar 2025,20%
Enterprise,Brunei,Teh Botol,None," 2,839 ","Rp 19,100","Rp 23,875","Rp 67,781,125","Rp 54,224,900","Rp 13,556,225",20 Mar 2025,20%
Enterprise,Myanmar,Sari Roti,None," 2,765 ","Rp 7,900","Rp 9,875","Rp 27,304,375","Rp 21,843,500","Rp 5,460,875",20 Mar 2025,20%
Enterprise,Malaysia,Teh Botol,None," 1,827 ","Rp 6,500","Rp 8,125","Rp 14,844,375","Rp 11,875,500","Rp 2,968,875",23 Mar 2025,20%
Enterprise,Brunei,Sari Roti,None," 1,104 ","Rp 3,200","Rp 4,000","Rp 4,416,000","Rp 3,532,800","Rp 883,200",26 Mar 2025,20%
Enterprise,Laos,Gula Gulaku,None," 1,945 ","Rp 10,700","Rp 13,375","Rp 26,014,375","Rp 20,811,500","Rp 5,202,875",26 Mar 2025,20%
Enterprise,Brunei,Chitato,None," 1,330 ","Rp 1,800","Rp 2,250","Rp 2,992,500","Rp 2,394,000","Rp 598,500",28 Mar 2025,20%
Enterprise,Brunei,Nugget Fiesta,None," 1,143 ","Rp 11,200","Rp 14,000","Rp 16,002,000","Rp 12,801,600","Rp 3,200,400",29 Mar 2025,20%
Enterprise,Singapore,Teh Botol,None," 2,272 ","Rp 20,400","Rp 25,500","Rp 57,936,000","Rp 46,348,800","Rp 11,587,200",4 Apr 2025,20%
Enterprise,Vietnam,Aqua,None," 2,019 ","Rp 12,900","Rp 16,125","Rp 32,556,375","Rp 26,045,100","Rp 6,511,275",6 Apr 2025,20%
Enterprise,Brunei,Nugget Fiesta,None, 751 ,"Rp 16,000","Rp 20,000","Rp 15,020,000","Rp 12,016,000","Rp 3,004,000",9 Apr 2025,20%
Enterprise,Vietnam,Indomie,None," 2,817 ","Rp 13,000","Rp 16,250","Rp 45,776,250","Rp 36,621,000","Rp 9,155,250",11 Apr 2025,20%
